#{"t_start": 1646496712.6493132, "env_id": "LunarLander-v2"}
r,l,t
-108.24586,488,308.033118
157.965282,608,309.384305
218.262611,374,309.717104
-16.045346,450,310.066103
173.533347,691,310.637131
222.471234,422,311.003001
217.548934,402,312.153105
224.316554,407,312.478129
176.324822,533,313.031122
170.61252,494,313.477132
-57.628391,1000,315.30713
217.22459,399,315.587068
-12.118598,244,315.74208
213.723412,371,316.031143
20.317559,1000,318.321082
-96.474611,489,318.72314
-10.025328,236,318.862117
140.178489,824,320.467108
206.475188,396,320.806072
57.609211,1000,322.143145
-91.080994,574,323.425856
222.082304,435,323.799857
205.670737,406,324.078095
230.926664,367,324.355144
-47.508774,414,324.694139
-3.663191,247,324.844679
69.56096,1000,326.907101
183.915877,560,327.51047
-4.563848,291,327.710146
-27.991977,243,327.868117
109.165735,634,329.440146
93.783423,1000,330.503139
-50.376458,446,330.858125
138.015508,524,332.326129
238.761345,379,332.598117
-177.044047,945,333.473112
222.66686,381,334.593138
-59.206698,1000,335.491147
142.98365,603,336.003109
201.087719,452,337.230087
227.509039,401,337.572141
215.084733,444,337.951144
-36.364972,1000,339.147063
-150.117967,886,341.088129
-11.621218,317,341.310083
221.921235,398,341.61402
-63.969441,380,341.956139
7.56824,1000,343.972108
222.375489,357,344.268123
-100.404231,530,344.749119
64.364722,1000,346.43213
216.732775,456,346.780899
-77.175274,535,347.205844
-100.836364,730,348.677072
174.264749,477,349.051118
-85.123614,548,349.514027
-54.283192,1000,351.812108
-55.18996,1000,353.037124
-25.978974,1000,354.960112
146.625344,702,355.911109
119.853728,676,356.616126
-81.631421,502,357.850143
-87.062627,1000,358.875134
205.835293,376,359.143073
-92.577841,1000,361.016127
165.661213,594,361.693139
235.809241,289,361.872144
-184.008383,960,363.593138
219.958465,430,363.879681
229.293144,498,364.29812
149.441289,596,365.008514
205.343466,452,366.279634
-49.732629,328,366.496133
-67.773753,1000,368.451138
-69.326637,335,368.681109
-67.068298,444,369.891133
127.588768,518,370.444066
-122.588323,734,371.294127
-91.117238,1000,373.103163
