#{"t_start": 1645662458.9154193, "env_id": "LunarLander-v2"}
r,l,t
8.587941,252,249.583692
163.55993,605,250.024824
-59.820621,402,250.315988
-63.876514,484,251.418599
230.396517,372,251.69268
-18.767172,402,251.97293
219.716245,560,252.432272
-57.019967,494,252.82456
170.760699,684,254.196816
185.670234,525,254.658118
-20.937484,217,254.7842
-20.742908,239,254.925292
228.653354,392,255.197335
229.644056,454,256.318809
232.632494,439,256.669564
-37.057686,181,256.766589
-25.770096,238,256.904677
172.114426,596,257.404613
17.597738,1000,259.187064
-53.306031,282,259.348167
165.105569,516,259.766915
-73.294869,416,260.103546
247.477228,374,261.127559
216.745438,354,261.409743
13.559201,179,261.506838
240.44891,355,261.790013
-97.687318,585,262.301572
190.652571,799,263.962593
225.696103,609,264.468587
211.68303,407,264.72158
16.412316,1000,266.450885
-11.254359,1000,268.007586
192.329486,476,268.427889
159.582031,951,270.687586
240.379918,334,270.924634
-64.673811,751,271.54357
-146.717739,894,273.120531
168.983992,799,274.196571
-4.7901,302,274.385578
251.162036,345,275.371519
212.08147,390,275.687743
222.125847,401,275.999567
-14.805832,270,276.17011
193.053624,484,276.60354
254.417414,338,276.836571
145.637588,717,278.39371
157.384924,562,278.931617
-75.591608,464,279.310559
172.367914,622,280.526646
240.30691,403,280.814863
139.325015,746,281.587557
-34.718365,1000,283.523078
-108.911341,546,284.055568
-82.359403,443,284.434559
230.410475,387,284.722548
-7.580664,1000,286.580954
-34.802519,256,286.742545
73.450548,1000,287.620558
185.547135,458,288.822212
-29.876492,508,289.201291
288.42554,387,289.465276
-28.067596,347,289.68336
258.858229,357,289.931432
-64.332339,420,291.019737
-24.794004,306,291.221891
253.177806,314,291.431033
-108.24586,488,291.847801
157.965282,608,293.116571
218.262611,374,293.428617
-16.045346,450,293.756534
173.533347,691,294.294606
222.471234,422,294.643018
217.548934,402,295.729375
224.316554,407,296.042795
176.324822,533,296.578692
170.61252,494,297.019752
-57.628391,1000,298.773004
217.22459,399,299.045072
-12.118598,244,299.185105
213.723412,371,299.46765
20.317559,1000,301.617581
-96.474611,489,302.006593
-10.025328,236,302.143595
140.178489,824,303.65088
206.475188,396,303.964836
57.609211,1000,305.243703
-91.080994,574,306.434587
222.082304,435,306.779149
205.670737,406,307.04555
230.926664,367,307.316557
-47.508774,414,307.649473
-3.663191,247,307.798463
69.56096,1000,309.730438
183.915877,560,310.314483
-4.563848,291,310.511543
-27.991977,243,310.66456
109.165735,634,312.119914
93.783423,1000,313.152555
-50.376458,446,313.500203
138.015508,524,314.842526
238.761345,379,315.101644
-177.044047,945,315.946962
222.66686,381,317.001614
-59.206698,1000,317.843094
142.98365,603,318.340192
201.087719,452,319.457543
227.509039,401,319.783767
215.084733,444,320.14968
-36.364972,1000,321.296713
-150.117967,886,323.147187
-11.621218,317,323.365596
221.921235,398,323.659545
-63.969441,380,323.973561
7.56824,1000,325.896939
222.375489,357,326.183106
-100.404231,530,326.654197
64.364722,1000,328.238983
216.732775,456,328.572514
-77.175274,535,328.975565
-100.836364,730,330.344692
174.264749,477,330.703863
-85.123614,548,331.152645
-54.283192,1000,333.192219
-55.18996,1000,334.368577
-25.978974,1000,336.159973
146.625344,702,337.0606
119.853728,676,337.734691
-81.631421,502,338.857556
-87.062627,1000,339.802569
205.835293,376,340.062602
-92.577841,1000,341.818588
165.661213,594,342.451592
235.809241,289,342.620589
-184.008383,960,344.167543
219.958465,430,344.439559
229.293144,498,344.83956
149.441289,596,345.517597
205.343466,452,346.70369
-49.732629,328,346.909529
-67.773753,1000,348.738007
-69.326637,335,348.958552
-67.068298,444,350.035718
127.588768,518,350.552038
-122.588323,734,351.366571
-91.117238,1000,353.009971
